[08-12 17:32:59] New Score: 99, Best Score: 431, Average Score: 79.71428571428571
[08-12 17:33:04] New Score: 100, Best Score: 431, Average Score: 79.81372549019608
[08-12 17:33:08] New Score: 98, Best Score: 431, Average Score: 79.90243902439025
[08-12 17:33:12] New Score: 101, Best Score: 431, Average Score: 80.00485436893204
[08-12 17:33:17] New Score: 101, Best Score: 431, Average Score: 80.10628019323671
[08-12 17:33:22] New Score: 102, Best Score: 431, Average Score: 80.21153846153847
[08-12 17:33:26] New Score: 98, Best Score: 431, Average Score: 80.29665071770334
[08-12 17:33:30] New Score: 100, Best Score: 431, Average Score: 80.39047619047619
[08-12 17:33:34] New Score: 98, Best Score: 431, Average Score: 80.4739336492891
[08-12 17:33:39] New Score: 101, Best Score: 431, Average Score: 80.57075471698113
[08-12 17:33:43] New Score: 99, Best Score: 431, Average Score: 80.65727699530517
[08-12 17:33:47] New Score: 99, Best Score: 431, Average Score: 80.74299065420561
[08-12 17:33:51] New Score: 98, Best Score: 431, Average Score: 80.8232558139535
[08-12 17:33:55] New Score: 99, Best Score: 431, Average Score: 80.9074074074074
[08-12 17:34:00] New Score: 111, Best Score: 431, Average Score: 81.04608294930875
[08-12 17:34:04] New Score: 98, Best Score: 431, Average Score: 81.12385321100918
[08-12 17:34:08] New Score: 99, Best Score: 431, Average Score: 81.20547945205479
[08-12 17:34:12] New Score: 100, Best Score: 431, Average Score: 81.2909090909091
[08-12 17:34:17] New Score: 101, Best Score: 431, Average Score: 81.38009049773756
[08-12 17:34:21] New Score: 100, Best Score: 431, Average Score: 81.46396396396396
[08-12 17:34:25] New Score: 99, Best Score: 431, Average Score: 81.54260089686099
[08-12 17:34:30] New Score: 111, Best Score: 431, Average Score: 81.67410714285714
[08-12 17:34:34] New Score: 111, Best Score: 431, Average Score: 81.80444444444444
[08-12 17:34:39] New Score: 122, Best Score: 431, Average Score: 81.98230088495575
[08-12 17:34:44] New Score: 111, Best Score: 431, Average Score: 82.1101321585903
[08-12 17:34:48] New Score: 99, Best Score: 431, Average Score: 82.1842105263158
[08-12 17:34:52] New Score: 100, Best Score: 431, Average Score: 82.26200873362446
[08-12 17:34:57] New Score: 111, Best Score: 431, Average Score: 82.38695652173914
[08-12 17:35:01] New Score: 100, Best Score: 431, Average Score: 82.46320346320347
[08-12 17:35:05] New Score: 99, Best Score: 431, Average Score: 82.53448275862068
[08-12 17:35:10] New Score: 101, Best Score: 431, Average Score: 82.6137339055794
[08-12 17:35:14] New Score: 100, Best Score: 431, Average Score: 82.6880341880342
[08-12 17:35:18] New Score: 99, Best Score: 431, Average Score: 82.75744680851064
[08-12 17:35:23] New Score: 123, Best Score: 431, Average Score: 82.92796610169492
[08-12 17:35:27] New Score: 99, Best Score: 431, Average Score: 82.9957805907173
[08-12 17:35:31] New Score: 90, Best Score: 431, Average Score: 83.02521008403362
[08-12 17:35:35] New Score: 99, Best Score: 431, Average Score: 83.09205020920503
[08-12 17:35:40] New Score: 122, Best Score: 431, Average Score: 83.25416666666666
[08-12 17:35:45] New Score: 111, Best Score: 431, Average Score: 83.36929460580913
[08-12 17:35:49] New Score: 110, Best Score: 431, Average Score: 83.47933884297521
[08-12 17:35:54] New Score: 123, Best Score: 431, Average Score: 83.64197530864197
[08-12 17:35:58] New Score: 98, Best Score: 431, Average Score: 83.70081967213115
[08-12 17:36:02] New Score: 100, Best Score: 431, Average Score: 83.7673469387755
[08-12 17:36:06] New Score: 98, Best Score: 431, Average Score: 83.82520325203252
[08-12 17:36:11] New Score: 110, Best Score: 431, Average Score: 83.93117408906883
